Date,Confirmed,Infected,Deaths,Recovered,Fatal per Confirmed,Recovered per Confirmed,Fatal per (Fatal or Recovered)
2020-01-22,555,510,17,28,0.03063063063063063,0.05045045045045045,0.37777777777777777
2020-01-23,653,605,18,30,0.027565084226646247,0.045941807044410414,0.375
2020-01-24,941,879,26,36,0.02763018065887354,0.03825717321997875,0.41935483870967744
2020-01-25,1438,1357,42,39,0.02920723226703755,0.027121001390820583,0.5185185185185185
2020-01-26,2118,2010,56,52,0.02644003777148253,0.024551463644948063,0.5185185185185185
2020-01-27,2927,2784,82,61,0.02801503245644004,0.020840450973693202,0.5734265734265734
2020-01-28,5578,5340,131,107,0.023485120114736465,0.01918250268913589,0.5504201680672269
2020-01-29,6165,5906,133,126,0.021573398215733983,0.020437956204379562,0.5135135135135135
2020-01-30,8235,7921,171,143,0.020765027322404372,0.017364905889496053,0.5445859872611465
2020-01-31,9925,9490,213,222,0.02146095717884131,0.022367758186397985,0.4896551724137931
2020-02-01,12038,11495,259,284,0.021515201860774213,0.023591958797142383,0.47697974217311234
2020-02-02,16787,15953,362,472,0.021564305712753917,0.028116995293977484,0.434052757793765
2020-02-03,19881,18832,426,623,0.02142749358684171,0.031336451888737994,0.40610104861773116
2020-02-04,23892,22548,492,852,0.02059266700150678,0.03566047212456052,0.36607142857142855
2020-02-05,27636,25948,564,1124,0.02040816326530612,0.04067158778404979,0.3341232227488152
2020-02-06,30818,28697,634,1487,0.020572392757479394,0.04825102212992407,0.2989156058462989
2020-02-07,34392,31662,719,2011,0.020906024656896952,0.05847290067457548,0.2633699633699634
2020-02-08,37121,33699,806,2616,0.021712777134236687,0.07047223943320492,0.23553477498538866
2020-02-09,40151,36001,906,3244,0.022564817812756842,0.0807949988792309,0.21831325301204818
2020-02-10,42763,37804,1013,3946,0.023688702850595142,0.09227603301919884,0.20427505545472877
2020-02-11,44803,39007,1113,4683,0.024842086467424057,0.1045242506082182,0.19202898550724637
2020-02-12,45222,38954,1118,5150,0.024722480208747954,0.1138826235018354,0.17836630504148054
2020-02-13,60370,52704,1371,6295,0.022709955275799238,0.10427364585058804,0.17884163840333941
2020-02-14,66887,57306,1523,8058,0.022769745989504687,0.12047184056692631,0.15896044254253208
2020-02-15,69032,57971,1666,9395,0.024133735079383475,0.13609630316375015,0.15061929301148178
2020-02-16,71226,58591,1770,10865,0.024850475949793616,0.15254261084435458,0.14008705975464977
2020-02-17,73260,58809,1868,12583,0.0254982254982255,0.17175812175812175,0.12926441076742093
2020-02-18,75138,58779,2007,14352,0.02671085203226064,0.1910085442785275,0.12268476068219329
2020-02-19,75641,57398,2122,16121,0.028053568831718247,0.21312515699157863,0.11631858795154305
2020-02-20,76199,55775,2247,18177,0.029488575965563854,0.23854643761729158,0.11001762632197415
2020-02-21,76843,55702,2251,18890,0.029293494527803443,0.2458259047668623,0.10647556879996216
2020-02-22,78599,53255,2458,22886,0.03127266250206746,0.291174187966768,0.09698547979797979
2020-02-23,78985,53122,2469,23394,0.03125909982908147,0.2961828195226942,0.09546456327572207
2020-02-24,79570,51714,2629,25227,0.03304009048636421,0.31704159859243436,0.09437823090178059
2020-02-25,80415,49802,2708,27905,0.03367530933283591,0.34701237331343654,0.08845915134093359
2020-02-26,81397,48243,2770,30384,0.034030738233595835,0.3732815705738541,0.08354949629004042
2020-02-27,82756,46665,2814,33277,0.03400357677993136,0.40210981681086566,0.07796957690282896
2020-02-28,84124,44541,2872,36711,0.03414007893110171,0.4363915172840093,0.07255640047495136
2020-02-29,86013,43290,2941,39782,0.0341925057840094,0.46251148082266635,0.06883879877349437
2020-03-01,88371,42659,2996,42716,0.033902524583856695,0.4833712416969368,0.06554077703885194
2020-03-02,90309,41622,3085,45602,0.03416049341704592,0.5049552093368325,0.0633639369852322
2020-03-03,92844,41455,3160,48229,0.034035586575330665,0.5194627547283616,0.06149175893673743
2020-03-04,95124,40699,3254,51171,0.034207981161431394,0.537939952062571,0.05978870004593477
2020-03-05,97886,40741,3348,53797,0.03420305253049466,0.5495882965899107,0.0585878029573891
2020-03-06,101800,42474,3460,55866,0.03398821218074656,0.5487819253438114,0.05832181505579341
2020-03-07,105836,43919,3558,58359,0.03361805056880456,0.5514097282588155,0.05746402441978778
2020-03-08,109835,45337,3803,60695,0.03462466426913097,0.5526016297173032,0.058963068622282865
2020-03-09,113582,47074,3996,62512,0.03518163089221884,0.550368896480076,0.06008299753413123
2020-03-10,118582,49916,4262,64404,0.03594137390160396,0.5431178425056079,0.06206856377246381
2020-03-11,125865,54247,4615,67003,0.03666626941564374,0.5323402057760299,0.06443910748694462
2020-03-12,128343,55299,4720,68324,0.03677645060501936,0.5323547057494371,0.06461858605771864
2020-03-13,145193,69538,5404,70251,0.03721942517889981,0.48384563994131946,0.07142951556407376
2020-03-14,156099,77656,5819,72624,0.03727762509689364,0.46524321103914823,0.0741812526292977
2020-03-15,167447,84973,6440,76034,0.03845993060490782,0.45407800677229215,0.07808521473434052
2020-03-16,181546,96332,7126,78088,0.03925175988454717,0.43012790146849833,0.08362475649541155
2020-03-17,197168,108423,7905,80840,0.040092712813438285,0.410005680434959,0.08907544086990817
2020-03-18,214915,122869,8733,83313,0.04063466952050811,0.3876555847660703,0.09487647480607522
2020-03-19,242713,147884,9867,84962,0.04065295225224854,0.3500512951510632,0.10405044870240117
2020-03-20,272167,173465,11299,87403,0.04151495221683746,0.3211373899113412,0.11447589714494134
2020-03-21,304549,199900,12973,91676,0.0425974145375621,0.3010221672046206,0.12396678420242907
2020-03-22,337122,225256,14623,97243,0.0433759885145437,0.2884504719359757,0.13071889582178678
2020-03-23,378283,260828,16497,100958,0.04361020717293666,0.2668848454728338,0.14045379081350304
2020-03-24,417962,291648,18615,107699,0.04453754169039291,0.2576765351874094,0.14737083775353485
2020-03-25,467594,332649,21181,113764,0.04529784385599473,0.243296535028251,0.15696024306198822
2020-03-26,529591,383477,23970,122144,0.04526134318747864,0.23063836054615733,0.16404998836524906
2020-03-27,593291,435184,27198,130909,0.04584259663470371,0.22064888899376528,0.17202274409102697
2020-03-28,660693,490632,30652,139409,0.046393710846035906,0.211004203162437,0.18024120756669665
2020-03-29,720140,537139,33925,149076,0.047108895492543115,0.20700974810453524,0.18538150064753744
2020-03-30,782389,580247,37582,164560,0.048034928916434155,0.21033015545975212,0.18591880954972248
2020-03-31,857487,637352,42107,178028,0.04910511762860545,0.2076159755191624,0.19127807936039248
2020-04-01,932605,692625,46809,193171,0.050191667426187934,0.20713056438685187,0.19505375447953996
2020-04-02,1013303,750057,52983,210263,0.0522874204458094,0.20750259300525115,0.20126801546842119
2020-04-03,1095917,811334,58787,225796,0.05364183601495369,0.2060338511036876,0.20657242351089136
2020-04-04,1197408,886650,64606,246152,0.05395487586520217,0.20557069937732167,0.20789810720882487
2020-04-05,1272115,942729,69374,260012,0.05453437778817167,0.20439347071609093,0.21061611604621933
2020-04-06,1345101,994021,74565,276515,0.05543449897070926,0.20557192359532853,0.2123874900307622
2020-04-07,1426096,1044177,81865,300054,0.05740497133432813,0.21040238525316668,0.21435173426826107
2020-04-08,1511104,1094105,88338,328661,0.05845924569056796,0.21749727351658124,0.2118422346336562
2020-04-09,1595350,1145920,95455,353975,0.05983326542764911,0.2218792114583007,0.2123912511403333
2020-04-10,1691719,1213098,102525,376096,0.060604036485964866,0.22231588106535424,0.21420915505170063
2020-04-11,1771514,1260902,108502,402110,0.06124817528961103,0.22698663403168137,0.21249402677571227
2020-04-12,1846680,1310869,114089,421722,0.061780600862087635,0.2283676652154136,0.21292769278719548
2020-04-13,1917320,1349183,119482,448655,0.06231719274821104,0.23400110571005361,0.21030490885121017
2020-04-14,1976192,1375947,125984,474261,0.06375089060172291,0.23998730892544853,0.20988762921806928
2020-04-15,2056055,1410859,134177,511019,0.06525944101689887,0.2485434484972435,0.2079631615819069
2020-04-16,2152647,1466739,143801,542107,0.06680194198119803,0.2518327435942818,0.20965056538194626
2020-04-17,2240191,1518026,153822,568343,0.06866468082409044,0.25370292086701535,0.21300118393995832
2020-04-18,2317759,1565930,159510,592319,0.06882078766601704,0.2555567684129368,0.21216260612453097
2020-04-19,2401379,1612432,165044,623903,0.06872884288569193,0.25981030066474303,0.2091952944874624
2020-04-20,2472259,1656535,169986,645738,0.06875735916018508,0.261193507638156,0.2083866601938891
2020-04-21,2549123,1692721,176583,679819,0.06927205944946556,0.26668740582545447,0.206191718375249
2020-04-22,2623960,1731200,183066,709694,0.06976706961996372,0.2704667754081617,0.20505623011783683
2020-04-23,2708885,1779541,190858,738486,0.07045629474857737,0.27261622401836916,0.2053685180084016
2020-04-24,2810715,1820144,197151,793420,0.07014265053553989,0.2822840451628856,0.19902763153776962
2020-04-25,2896746,1877215,202846,816685,0.07002546995836018,0.28193186423662964,0.1989601100898354
2020-04-26,2971475,1899198,206544,865733,0.06950891392321995,0.29134789961214547,0.19262186916253915
2020-04-27,3041764,1936630,211167,893967,0.06942254560182841,0.29389755418237573,0.1910781859937347
